,female,male,Total
Ängeså,0 (0-0),0 (0-0),0 (0-0)
Baste cearru,4.3 (2-7),1.2 (0-3),5.6 (3-9)
Gabna,5.3 (4-7),1.9 (1-3),7.3 (5-9)
Gällivare,0 (0-0),0 (0-0),0 (0-0)
Girjas,5.3 (3-7),2.1 (1-4),7.4 (5-10)
Jåhkågaska tjiellde,3 (1-5),1.4 (0-4),4.4 (2-7)
Kalix,0 (0-0),0.1 (0-1),0.1 (0-1)
Könkämä,4.2 (2-7),1.1 (1-2),5.2 (3-8)
Korju,0.4 (0-1),0.7 (0-1),1.1 (0-2)
Laevas,2.6 (0-5),2.8 (1-4),5.4 (3-8)
Lainiovuoma,0.5 (0-2),0.7 (0-2),1.1 (0-3)
Liehittäjä,0 (0-0),0 (0-0),0 (0-0)
Luokta-Mávas,5.7 (3-9),2.2 (0-5),7.9 (4-12)
Maskaure,0.4 (0-2),0.4 (0-1),0.8 (0-2)
Mausjaur,0.3 (0-1),0.1 (0-1),0.4 (0-2)
Muonio,0 (0-0),0 (0-0),0 (0-0)
Östra Kikkejaure,0 (0-1),0 (0-0),0 (0-1)
Pirttijärvi,0 (0-0),0 (0-0),0 (0-0)
Saarivuoma,0.2 (0-2),0.5 (0-2),0.8 (0-3)
Sattajärvi,0 (0-0),0 (0-0),0 (0-0)
Semisjaur-Njarg,8.2 (5-13),3.8 (1-6),12 (8-17)
Sirges,7.6 (5-11),3.5 (1-6),11.1 (7-15)
Slakka,0 (0-0),0 (0-0),0 (0-0)
Ståkke,1.2 (0-3),3.1 (1-5),4.3 (2-7)
Svaipa,2.8 (0-6),3 (2-4),5.8 (3-9)
Talma,2.3 (0-5),1.2 (0-3),3.5 (1-6)
Tärendö,0 (0-0),0 (0-0),0 (0-0)
Tuorpon,1.7 (0-4),1.3 (0-3),3 (1-6)
Udtja,0.7 (0-2),1 (0-1),1.6 (1-3)
Unna Tjerusj,2.8 (1-5),1.3 (0-3),4.1 (2-6)
Västra Kikkejaure,0.8 (0-1),0.2 (0-1),1 (0-2)
Vittangi,0 (0-0),0 (0-0),0 (0-0)
