"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Akershus","0.2 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-0)","0.1 (0-1)","0.1 (0-1)"
"Buskerud","0.3 (0-2)","0.2 (0-1)","0.3 (0-2)","0.3 (0-2)","0.2 (0-2)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.4 (0-2)","0.4 (0-2)"
"Finnmark","32.6 (25-41)","27.4 (20-36)","32.4 (25-41)","38.5 (30-47)","46.9 (40-55)","41.9 (34-50)","42.1 (35-49)","48.3 (40-57)","57.5 (49-67)","63.1 (53-74)"
"Innlandet","27.1 (20-35)","28.9 (24-34)","34.6 (29-41)","33.4 (26-41)","36.9 (30-44)","43.3 (37-50)","42.9 (36-50)","46.6 (40-53)","58.7 (52-65)","62.6 (56-70)"
"Møre og Romsdal","0.1 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)"
"Nordland","8.1 (4-13)","4.4 (2-8)","3.5 (2-6)","4.3 (2-7)","5.8 (4-8)","3.4 (3-5)","2.4 (1-5)","3.7 (2-6)","4.3 (1-8)","6 (3-10)"
"Oslo","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)"
"Troms","11.9 (9-15)","13 (11-16)","11.5 (9-15)","12.7 (11-15)","8 (6-11)","7.5 (7-9)","7.5 (6-9)","4 (3-6)","4.2 (2-7)","8 (6-11)"
"Trøndelag","26.2 (20-33)","28 (23-34)","32.2 (27-38)","36.1 (30-43)","31.9 (28-37)","27.8 (24-32)","25.7 (22-29)","27.6 (24-32)","26.4 (21-33)","32.2 (26-39)"
"TOTAL","106.5 (92-122)","101.9 (90-115)","114.5 (101-129)","125.4 (111-141)","129.8 (118-142)","124.2 (113-136)","120.8 (110-132)","130.4 (118-143)","151.6 (138-166)","172.4 (156-190)"
